Time,AccelX1,AccelY1,AccelZ1,AccelX2,AccelY2,AccelZ2
2.500802333,0,0,1.293649614,0,0,0.74445913
2.502402333,0,0,1.274183714,0,0,0.759414783
2.504002333,0,0,1.289576869,0,0,0.52234
2.505602333,0,0,1.259558265,0,0,0.777693913
2.507202333,0,0,1.305247428,0,0,0.793674894
2.508802333,0,0,1.28579765,0,0,-0.131547907
2.510402333,0,0,1.287318702,0,0,0.545503636
2.512002333,0,0,1.243683667,0,0,0.470272174
2.513602333,0,0,1.315813329,0,0,0.80262
2.515202333,0,0,1.252473111,0,0,0.718861277
2.516802333,0,0,1.321710675,0,0,0.712847442
2.518402333,0,0,1.274683152,0,0,0.743257021
2.520002333,0,0,1.285629287,0,0,0.47866
2.521602333,0,0,1.242324639,0,0,0.73892
2.523202333,0,0,1.312873781,0,0,0.574149333
2.524802333,0,0,1.273416008,0,0,0.7341425
2.526402333,0,0,1.283983748,0,0,0.572450667
2.528002333,0,0,1.25894255,0,0,0.756268085
2.529602333,0,0,1.310063617,0,0,0.91666
2.531202333,0,0,1.270979053,0,0,0.9282
2.532802333,0,0,1.302299119,0,0,0.75192
2.534402333,0,0,1.263930285,0,0,0.7644
2.536002333,0,0,1.270069567,0,0,0.524656364
2.537602333,0,0,1.264989748,0,0,0.482421333
2.539202333,0,0,1.330856896,0,0,0.716837333
2.540802333,0,0,1.278448007,0,0,0.531524651
2.542402333,0,0,1.288997421,0,0,0.759520851
2.544002333,0,0,1.274020926,0,0,0.583871489
2.545602333,0,0,1.284905574,0,0,0.270863478
2.547202333,0,0,1.263136253,0,0,0.483527442
2.548802333,0,0,1.31090182,0,0,0.725366809
2.550402333,0,0,1.283552329,0,0,0.737812174
2.552002333,0,0,1.302445703,0,0,0.8008
2.553602333,0,0,1.262965806,0,0,0.78156
2.555202333,0,0,1.306533364,0,0,0.714061463
2.556802333,0,0,1.242750275,0,0,0.78988
2.558402333,0,0,1.301348361,0,0,0.77077
2.560002333,0,0,1.286077182,0,0,0.371836735
2.561602333,0,0,1.312934587,0,0,0.78806
2.563202333,0,0,1.268378209,0,0,0.7564375
