Time,AccelX1,AccelY1,AccelZ1,AccelX2,AccelY2,AccelZ2
0.000009648,0,0,1.4700398445129395,0,0,0.6879600286483765
0.001255503,0,0,1.4628572463989258,0,0,0.6879600286483765
0.002223175,0,0,1.4293384552001953,0,0,0.9172800183296204
0.00322481,0,0,1.3742717504501343,0,0,1.1466000080108643
0.004279649,0,0,1.3934253454208374,0,0,0.8408399820327759
0.006021922,0,0,1.3934253454208374,0,0,0.8408399820327759
0.006186105,0,0,1.4987702369689941,0,0,0.5350799560546875
0.007226073,0,0,1.5083470344543457,0,0,0.6879600286483765
0.008222597,0,0,1.5658079385757446,0,0,0.611519992351532
0.009223047,0,0,1.5729905366897583,0,0,0.611519992351532
0.010222386,0,0,1.5418659448623657,0,0,0.8408399820327759
0.011223151,0,0,1.3910311460494995,0,0,0.9172800183296204
0.012222397,0,0,1.436521053314209,0,0,0.8408399820327759
0.013221699,0,0,1.4077905416488647,0,0,0.7644000053405762
0.01422202,0,0,1.4221558570861816,0,0,0.611519992351532
0.015222636,0,0,1.4173674583435059,0,0,0.6879600286483765
0.016222271,0,0,1.3431471586227417,0,0,0.5350799560546875
0.01722387,0,0,1.45806884765625,0,0,0.611519992351532
0.018222875,0,0,1.5658079385757446,0,0,0.8408399820327759
0.019223436,0,0,1.5897499322891235,0,0,0.9172800183296204
0.020221757,0,0,1.4891934394836426,0,0,0.9172800183296204
0.021222133,0,0,1.4939818382263184,0,0,0.8408399820327759
0.022222249,0,0,1.5298948287963867,0,0,0.8408399820327759
0.023222607,0,0,1.4173674583435059,0,0,0.8408399820327759
0.024222186,0,0,1.4676456451416016,0,0,1.070159912109375
0.025222044,0,0,1.434126853942871,0,0,0.5350799560546875
0.026222012,0,0,1.4652514457702637,0,0,0.8408399820327759
0.027229388,0,0,1.4724340438842773,0,0,0.5350799560546875
0.028224968,0,0,1.556231141090393,0,0,0.6879600286483765
0.02922514,0,0,1.5682021379470825,0,0,0.8408399820327759
0.030228719,0,0,1.4460978507995605,0,0,0.611519992351532
0.031232003,0,0,1.4844050407409668,0,0,0.7644000053405762
0.032312915,0,0,1.4700398445129395,0,0,0.8408399820327759
0.033240143,0,0,1.4724340438842773,0,0,0.7644000053405762
0.03422539,0,0,1.403002142906189,0,0,0.9937199950218201
0.035226729,0,0,1.3479355573654175,0,0,1.070159912109375
0.036224234,0,0,1.403002142906189,0,0,0.9172800183296204
0.037224277,0,0,1.3527239561080933,0,0,0.611519992351532
0.038224208,0,0,1.3646949529647827,0,0,0.8408399820327759
